Image_Id,BLB,BS,HRL,LB,LS,NBLS,RH,SB,Label
image_01506,0,0,0,0,0,1,0,0,5
image_00310,0,0,0,0,0,0,0,1,7
image_01686,0,0,0,0,0,1,0,0,5
image_05125,1,0,0,0,0,0,0,0,0
image_03774,0,0,1,0,0,0,0,0,2
image_02850,0,0,0,1,0,0,0,0,3
image_01837,0,0,0,0,0,1,0,0,5
image_00812,0,0,0,0,0,0,0,1,7
image_02741,0,0,0,1,0,0,0,0,3
image_04785,1,0,0,0,0,0,0,0,0
image_04999,1,0,0,0,0,0,0,0,0
image_00656,0,0,0,0,0,0,0,1,7
image_03041,0,0,0,1,0,0,0,0,3
image_01278,0,0,0,0,0,0,1,0,6
image_04893,1,0,0,0,0,0,0,0,0
image_01205,0,0,0,0,0,0,1,0,6
image_01490,0,0,0,0,0,1,0,0,5
image_00717,0,0,0,0,0,0,0,1,7
image_04986,1,0,0,0,0,0,0,0,0
image_00731,0,0,0,0,0,0,0,1,7
image_02064,0,0,0,0,1,0,0,0,4
image_03868,0,1,0,0,0,0,0,0,1
image_04309,0,1,0,0,0,0,0,0,1
image_01264,0,0,0,0,0,0,1,0,6
image_03027,0,0,0,1,0,0,0,0,3
image_00250,0,0,0,0,0,0,0,1,7
image_04821,1,0,0,0,0,0,0,0,0
image_02517,0,0,0,1,0,0,0,0,3
image_04880,1,0,0,0,0,0,0,0,0
image_04380,0,1,0,0,0,0,0,0,1
image_02420,0,0,0,1,0,0,0,0,3
image_02356,0,0,0,0,1,0,0,0,4
image_03825,0,0,1,0,0,0,0,0,2
image_03648,0,0,1,0,0,0,0,0,2
image_02699,0,0,0,1,0,0,0,0,3
image_03620,0,0,1,0,0,0,0,0,2
image_01720,0,0,0,0,0,1,0,0,5
image_01521,0,0,0,0,0,1,0,0,5
image_04351,0,1,0,0,0,0,0,0,1
image_02093,0,0,0,0,1,0,0,0,4
image_00682,0,0,0,0,0,0,0,1,7
image_00078,0,0,0,0,0,0,0,1,7
image_03197,0,0,0,1,0,0,0,0,3
image_02397,0,0,0,0,1,0,0,0,4
image_01777,0,0,0,0,0,1,0,0,5
image_01774,0,0,0,0,0,1,0,0,5
image_03658,0,0,1,0,0,0,0,0,2
image_00591,0,0,0,0,0,0,0,1,7
image_01890,0,0,0,0,1,0,0,0,4
image_01876,0,0,0,0,1,0,0,0,4
image_00934,0,0,0,0,0,0,1,0,6
image_02206,0,0,0,0,1,0,0,0,4
image_02632,0,0,0,1,0,0,0,0,3
image_04362,0,1,0,0,0,0,0,0,1
image_04271,0,1,0,0,0,0,0,0,1
image_00653,0,0,0,0,0,0,0,1,7
image_00570,0,0,0,0,0,0,0,1,7
